,0
N1662,0.03766291760016527
N3418,0.03764744182943747
N2651,0.037631724003845735
N3614,0.037582782865619224
N4280,0.0375136259794564
N6033,0.03748373928729731
N1530,0.03746622085619977
N8476,0.03745828772956905
N9953,0.03739971255124641
N6081,0.037397538138357334
N7773,0.0373836982201059
N5899,0.03737533158673911
N3805,0.037364699361821074
N4487,0.037329340463016836
N7416,0.03722409988193598
N598,0.03715373630526986
N1204,0.03709945468586229
N3846,0.03709714805225306
N847,0.03705961019328674
N5185,0.03705464719716933
N6925,0.03704105929973567
N2945,0.03703487922586479
N5112,0.03700704173000391
N1087,0.036967456315418534
N2971,0.03693821726119029
N7594,0.03681835168522141
N1925,0.03677597121321896
N4893,0.03661406729081107
N604,0.03658005007086951
N6494,0.036563064783317945
N731,0.036531778314614405
N7888,0.03645539298192646
N6672,0.036428485833934765
N3566,0.03640009128819033
N7021,0.03639599404752736
N1455,0.03637450106805162
N2029,0.03633218029358787
N1993,0.036287207409329
N3690,0.036220063130441904
N5132,0.0361501961945867
N4480,0.03613687023483236
N6671,0.03611580201733555
N6196,0.036090544944809455
N2082,0.03606629002139505
N4393,0.036062030392135735
N3946,0.03601827256266321
N6590,0.035997578970541344
N819,0.03596255925169811
N3004,0.03593501455083414
N8458,0.03589070679583406
N6770,0.035832362945473095
N7936,0.03580544512399553
N4624,0.035785762425741385
N3781,0.03569662595530221
N1311,0.03567218214514445
N7236,0.035616058530197225
N3598,0.03555813885883219
N7362,0.035479476857901426
N5479,0.03544137680006454
N3032,0.03543821175045947
N1701,0.03541400521469873
N4994,0.03541375150015913
N7184,0.03540144832714143
N5346,0.03539769230995171
N7349,0.03538918634346211
N7518,0.035373745870867834
N2691,0.03534099745681685
N6591,0.03532745544327498
N2000,0.03531967156049087
N7557,0.035304986143936734
N7510,0.0352638622903958
N6139,0.03525012882498202
N9104,0.0352461993977331
N3732,0.03515478244204173
N3611,0.03514252471107504
N4445,0.03514238199664654
N1803,0.03510289568930336
N4255,0.035060154700133905
N5092,0.03504543132826732
N6126,0.034998213256889565
N7837,0.03496418915773969
